id,text,search_text,keywords,disease,crop,section_type,section_title,rescued,doc,page
0,"Grape Black Measles: Common Name: Black Measles (also known as Esca, Spanish Measles, or Apoplexy)","Grape Black Measles - Disease Name & Target Crop: Common Name: Black Measles (also known as Esca, Spanish Measles, or Apoplexy)",[],grape_black_measles,grape,identity,Disease Name & Target Crop,True,Grape_Black_Measles_RAG_Document.pdf,1
1,Grape Black Measles: Target Crop: Grapevine (Vitis vinifera),Grape Black Measles - Disease Name & Target Crop: Target Crop: Grapevine (Vitis vinifera) Vitis vinifera,['Vitis vinifera'],grape_black_measles,grape,identity,Disease Name & Target Crop,True,Grape_Black_Measles_RAG_Document.pdf,1
2,"Grape Black Measles is caused by a complex of wood-colonizing fungi rather than a single pathogen. The primary fungi involved include: Phaeoacremonium aleophilum Phaeomoniella chlamydospora Various basidiomycete fungi, particularly Fomitiporia mediterranea","Grape Black Measles - Scientific Name (Pathogen): Grape Black Measles is caused by a complex of wood-colonizing fungi rather than a single pathogen. The primary fungi involved include: Phaeoacremonium aleophilum Phaeomoniella chlamydospora Various basidiomycete fungi, particularly Fomitiporia mediterranea Fomitiporia mediterranea Phaeoacremonium aleophilum Phaeomoniella chlamydospora Various basidiomycete","['Fomitiporia mediterranea', 'Phaeoacremonium aleophilum', 'Phaeomoniella chlamydospora', 'Various basidiomycete']",grape_black_measles,grape,pathogen,Scientific Name (Pathogen),False,Grape_Black_Measles_RAG_Document.pdf,1
3,"Black Measles (Esca) is a destructive, chronic grapevine trunk disease that attacks the vascular tissue (wood) of the vine. It restricts water and nutrient flow, leading to internal wood rot. The disease is notorious for remaining asymptomatic in the trunk for years before suddenly manifesting dramatic visual symptoms on leaves and fruit, often during the height of summer. It is considered one of the most severe threats to mature vineyards globally.","Grape Black Measles - Disease Overview: Black Measles (Esca) is a destructive, chronic grapevine trunk disease that attacks the vascular tissue (wood) of the vine. It restricts water and nutrient flow, leading to internal wood rot. The disease is notorious for remaining asymptomatic in the trunk for years before suddenly manifesting dramatic visual symptoms on leaves and fruit, often during the height of summer. It is considered one of the most severe threats to mature vineyards globally.",[],grape_black_measles,grape,overview,Disease Overview,False,Grape_Black_Measles_RAG_Document.pdf,1
4,Grape Black Measles: Pruning Wounds: The most common point of entry. Fungal spores are dispersed by wind and rain splashing and land on fresh pruning wounds.,Grape Black Measles - Causes & Transmission Vectors: Pruning Wounds: The most common point of entry. Fungal spores are dispersed by wind and rain splashing and land on fresh pruning wounds. Fungal spores,['Fungal spores'],grape_black_measles,grape,transmission,Causes & Transmission Vectors,True,Grape_Black_Measles_RAG_Document.pdf,1
5,Infected Nursery Stock: The disease complex can be introduced into a new vineyard via latently infected rootstocks or scions during the grafting process.,Grape Black Measles - Causes & Transmission Vectors: Infected Nursery Stock: The disease complex can be introduced into a new vineyard via latently infected rootstocks or scions during the grafting process.,[],grape_black_measles,grape,transmission,Causes & Transmission Vectors,False,Grape_Black_Measles_RAG_Document.pdf,1
6,"Environmental Triggers: Visual symptoms (foliar and fruit) are often triggered by environmental stress, particularly hot, dry weather following rain, which stresses the already compromised vascular system.","Grape Black Measles - Causes & Transmission Vectors: Environmental Triggers: Visual symptoms (foliar and fruit) are often triggered by environmental stress, particularly hot, dry weather following rain, which stresses the already compromised vascular system. Visual symptoms",['Visual symptoms'],grape_black_measles,grape,transmission,Causes & Transmission Vectors,False,Grape_Black_Measles_RAG_Document.pdf,1
7,"Foliar Symptoms (""Tiger Stripes""): Leaves develop interveinal chlorosis (yellowing in white varieties, reddening in red varieties). As the disease progresses, the discolored tissue dies (necrosis), leaving a highly distinct ""tiger-stripe"" pattern of dead tissue bordered by red/yellow margins, with only the main veins remaining green.","Grape Black Measles - Symptoms (Early & Advanced Stages): Foliar Symptoms (""Tiger Stripes""): Leaves develop interveinal chlorosis (yellowing in white varieties, reddening in red varieties). As the disease progresses, the discolored tissue dies (necrosis), leaving a highly distinct ""tiger-stripe"" pattern of dead tissue bordered by red/yellow margins, with only the main veins remaining green. Leaves develop",['Leaves develop'],grape_black_measles,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Measles_RAG_Document.pdf,2
8,"Fruit Symptoms (""Black Measles""): Small, dark brown or purple spots (measles) appear on the berries. These spots can coalesce, causing the skin to crack and the berries to shrivel or raisin before ripening.","Grape Black Measles - Symptoms (Early & Advanced Stages): Fruit Symptoms (""Black Measles""): Small, dark brown or purple spots (measles) appear on the berries. These spots can coalesce, causing the skin to crack and the berries to shrivel or raisin before ripening. These spots",['These spots'],grape_black_measles,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Measles_RAG_Document.pdf,2
9,"Trunk Symptoms: A cross-section of the trunk or cordons will reveal dark brown or black streaking in the vascular tissue, often surrounding a core of white, spongy, rotted wood.","Grape Black Measles - Symptoms (Early & Advanced Stages): Trunk Symptoms: A cross-section of the trunk or cordons will reveal dark brown or black streaking in the vascular tissue, often surrounding a core of white, spongy, rotted wood.",[],grape_black_measles,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Measles_RAG_Document.pdf,2
10,"Advanced Stage (Apoplexy): In severe cases, the entire vine or a single cordon may suddenly wilt and die within a few days during mid-summer.","Grape Black Measles - Symptoms (Early & Advanced Stages): Advanced Stage (Apoplexy): In severe cases, the entire vine or a single cordon may suddenly wilt and die within a few days during mid-summer.",[],grape_black_measles,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Measles_RAG_Document.pdf,2
11,Delayed Pruning: Pruning late in the dormant season (late winter or early spring) when wounds heal faster and spore release is naturally lower.,Grape Black Measles - Prevention & Cultural Practices: Delayed Pruning: Pruning late in the dormant season (late winter or early spring) when wounds heal faster and spore release is naturally lower. Pruning late,['Pruning late'],grape_black_measles,grape,prevention,Prevention & Cultural Practices,False,Grape_Black_Measles_RAG_Document.pdf,2
12,"Double Pruning: A rough initial pruning is done early in winter, leaving long spurs. A final pruning to the desired spur length is done late in the season, cutting away any wood that became infected over the winter.","Grape Black Measles - Prevention & Cultural Practices: Double Pruning: A rough initial pruning is done early in winter, leaving long spurs. A final pruning to the desired spur length is done late in the season, cutting away any wood that became infected over the winter.",[],grape_black_measles,grape,prevention,Prevention & Cultural Practices,False,Grape_Black_Measles_RAG_Document.pdf,2
13,Grape Black Measles: Wound Protection: Applying fungicidal or physical mastic pastes to large pruning wounds immediately after cutting to block spore entry.,Grape Black Measles - Prevention & Cultural Practices: Wound Protection: Applying fungicidal or physical mastic pastes to large pruning wounds immediately after cutting to block spore entry. Applying fungicidal,['Applying fungicidal'],grape_black_measles,grape,prevention,Prevention & Cultural Practices,True,Grape_Black_Measles_RAG_Document.pdf,2
14,Sanitation: Removing and burning dead or infected vines and prunings from the vineyard to reduce the local spore load. Disinfecting pruning tools between vines.,Grape Black Measles - Prevention & Cultural Practices: Sanitation: Removing and burning dead or infected vines and prunings from the vineyard to reduce the local spore load. Disinfecting pruning tools between vines. Disinfecting pruning Removing and,"['Disinfecting pruning', 'Removing and']",grape_black_measles,grape,prevention,Prevention & Cultural Practices,False,Grape_Black_Measles_RAG_Document.pdf,2
15,"No Complete Cure: Once the wood-rotting fungi are established deep within the trunk, chemical sprays cannot eradicate them. Management focuses on extending the life of the vine and preventing new infections.","Grape Black Measles - Treatment & Solutions (Chemical & Biological): No Complete Cure: Once the wood-rotting fungi are established deep within the trunk, chemical sprays cannot eradicate them. Management focuses on extending the life of the vine and preventing new infections. Management focuses Once the","['Management focuses', 'Once the']",grape_black_measles,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Black_Measles_RAG_Document.pdf,3
16,"Vine Surgery (Trunk Renewal): The most effective mechanical treatment for an infected vine is to cut off the trunk below the visible wood staining (rot) and retrain a new shoot from the base (sucker) to form a new, healthy trunk.","Grape Black Measles - Treatment & Solutions (Chemical & Biological): Vine Surgery (Trunk Renewal): The most effective mechanical treatment for an infected vine is to cut off the trunk below the visible wood staining (rot) and retrain a new shoot from the base (sucker) to form a new, healthy trunk.",[],grape_black_measles,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Black_Measles_RAG_Document.pdf,3
17,"Biological Control: Applications of Trichoderma species (beneficial fungi) to fresh pruning wounds can help colonize the wood first, outcompeting the Esca pathogens and preventing them from entering the vascular system.","Grape Black Measles - Treatment & Solutions (Chemical & Biological): Biological Control: Applications of Trichoderma species (beneficial fungi) to fresh pruning wounds can help colonize the wood first, outcompeting the Esca pathogens and preventing them from entering the vascular system. Esca pathogens Trichoderma species trichoderma","['Esca pathogens', 'Trichoderma species', 'trichoderma']",grape_black_measles,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Black_Measles_RAG_Document.pdf,3
18,Grape Black Rot: Common Name: Black Rot,Grape Black Rot - Disease Name & Target Crop: Common Name: Black Rot,[],grape_black_rot,grape,identity,Disease Name & Target Crop,True,Grape_Black_Rot_RAG_Document.pdf,1
19,Grape Black Rot: Target Crop: Grapevine (Vitis vinifera and other Vitis species),Grape Black Rot - Disease Name & Target Crop: Target Crop: Grapevine (Vitis vinifera and other Vitis species) Vitis species Vitis vinifera,"['Vitis species', 'Vitis vinifera']",grape_black_rot,grape,identity,Disease Name & Target Crop,True,Grape_Black_Rot_RAG_Document.pdf,1
20,Grape Black Rot: Grape Black Rot is a fungal disease caused by:,Grape Black Rot - Scientific Name (Pathogen): Grape Black Rot is a fungal disease caused by:,[],grape_black_rot,grape,pathogen,Scientific Name (Pathogen),True,Grape_Black_Rot_RAG_Document.pdf,1
21,Grape Black Rot: Sexual stage (teleomorph): Guignardia bidwellii,Grape Black Rot - Scientific Name (Pathogen): Sexual stage (teleomorph): Guignardia bidwellii Guignardia bidwellii Sexual stage,"['Guignardia bidwellii', 'Sexual stage']",grape_black_rot,grape,pathogen,Scientific Name (Pathogen),True,Grape_Black_Rot_RAG_Document.pdf,1
22,Grape Black Rot: Asexual stage (anamorph): Phyllosticta ampelicida,Grape Black Rot - Scientific Name (Pathogen): Asexual stage (anamorph): Phyllosticta ampelicida Asexual stage Phyllosticta ampelicida,"['Asexual stage', 'Phyllosticta ampelicida']",grape_black_rot,grape,pathogen,Scientific Name (Pathogen),True,Grape_Black_Rot_RAG_Document.pdf,1
23,"Black Rot is one of the most devastating fungal diseases of grapevines, particularly in regions with warm, humid, and rainy spring and summer weather. The fungus can infect all green, growing parts of the vine, including leaves, shoots, tendrils, and fruit. If left unmanaged, Black Rot can result in complete crop loss, as the fungus quickly rots the berries, turning them into hard, black, shriveled ""mummies.""","Grape Black Rot - Disease Overview: Black Rot is one of the most devastating fungal diseases of grapevines, particularly in regions with warm, humid, and rainy spring and summer weather. The fungus can infect all green, growing parts of the vine, including leaves, shoots, tendrils, and fruit. If left unmanaged, Black Rot can result in complete crop loss, as the fungus quickly rots the berries, turning them into hard, black, shriveled ""mummies.""",[],grape_black_rot,grape,overview,Disease Overview,False,Grape_Black_Rot_RAG_Document.pdf,1
24,"Overwintering: The fungus survives the winter primarily in mummified berries (mummies) left hanging on the trellis or lying on the ground, as well as in cane lesions.","Grape Black Rot - Causes & Transmission Vectors: Overwintering: The fungus survives the winter primarily in mummified berries (mummies) left hanging on the trellis or lying on the ground, as well as in cane lesions.",[],grape_black_rot,grape,transmission,Causes & Transmission Vectors,False,Grape_Black_Rot_RAG_Document.pdf,1
25,"Spore Release: In the spring, rain triggers the release of ascospores (primary infection) from the mummies. These spores are dispersed by wind and rain splash to newly emerging tissue.","Grape Black Rot - Causes & Transmission Vectors: Spore Release: In the spring, rain triggers the release of ascospores (primary infection) from the mummies. These spores are dispersed by wind and rain splash to newly emerging tissue. These spores",['These spores'],grape_black_rot,grape,transmission,Causes & Transmission Vectors,False,Grape_Black_Rot_RAG_Document.pdf,1
26,"Secondary Infection: Once the fungus establishes on the vine, it produces asexual spores (conidia) that are splashed by rain to other leaves and developing fruit, causing explosive disease spread during wet weather.","Grape Black Rot - Causes & Transmission Vectors: Secondary Infection: Once the fungus establishes on the vine, it produces asexual spores (conidia) that are splashed by rain to other leaves and developing fruit, causing explosive disease spread during wet weather. Once the",['Once the'],grape_black_rot,grape,transmission,Causes & Transmission Vectors,False,Grape_Black_Rot_RAG_Document.pdf,1
27,"Foliar Symptoms: Appears in late spring as small, circular, reddish-brown spots on the leaves. As the spots enlarge, the centers turn tan with a distinct dark brown or black border. Tiny black dots (pycnidia, the fungal fruiting bodies) appear in a ring inside the lesion.","Grape Black Rot - Symptoms (Early & Advanced Stages): Foliar Symptoms: Appears in late spring as small, circular, reddish-brown spots on the leaves. As the spots enlarge, the centers turn tan with a distinct dark brown or black border. Tiny black dots (pycnidia, the fungal fruiting bodies) appear in a ring inside the lesion. Tiny black",['Tiny black'],grape_black_rot,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Rot_RAG_Document.pdf,2
28,"Shoot and Tendril Symptoms: Sunken, elongated, dark/purple lesions (cankers) form on stems and tendrils, which can cause them to girdle and die.","Grape Black Rot - Symptoms (Early & Advanced Stages): Shoot and Tendril Symptoms: Sunken, elongated, dark/purple lesions (cankers) form on stems and tendrils, which can cause them to girdle and die. Shoot and",['Shoot and'],grape_black_rot,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Rot_RAG_Document.pdf,2
29,"Fruit Symptoms (Advanced Stage): This is the most destructive phase. Berries initially show a small, light-brown circular spot. Within a few days, the entire berry rots, turns black, and shrivels into a hard, wrinkled mummy heavily studded with black pycnidia.","Grape Black Rot - Symptoms (Early & Advanced Stages): Fruit Symptoms (Advanced Stage): This is the most destructive phase. Berries initially show a small, light-brown circular spot. Within a few days, the entire berry rots, turns black, and shrivels into a hard, wrinkled mummy heavily studded with black pycnidia. Berries initially",['Berries initially'],grape_black_rot,grape,symptom,Symptoms (Early & Advanced Stages),False,Grape_Black_Rot_RAG_Document.pdf,2
30,Sanitation (Crucial): The most important preventative step is removing all mummified berries from the vines and the ground during dormant winter pruning. These must be destroyed or burned to eliminate the overwintering inoculum.,Grape Black Rot - Prevention & Cultural Practices: Sanitation (Crucial): The most important preventative step is removing all mummified berries from the vines and the ground during dormant winter pruning. These must be destroyed or burned to eliminate the overwintering inoculum. These must,['These must'],grape_black_rot,grape,prevention,Prevention & Cultural Practices,False,Grape_Black_Rot_RAG_Document.pdf,2
31,"Canopy Management: Proper pruning, shoot thinning, and leaf pulling around the fruiting zone improve air circulation and sunlight penetration. This promotes rapid drying of foliage and fruit, reducing the moisture the fungus needs to infect.","Grape Black Rot - Prevention & Cultural Practices: Canopy Management: Proper pruning, shoot thinning, and leaf pulling around the fruiting zone improve air circulation and sunlight penetration. This promotes rapid drying of foliage and fruit, reducing the moisture the fungus needs to infect. Proper pruning This promotes","['Proper pruning', 'This promotes']",grape_black_rot,grape,prevention,Prevention & Cultural Practices,False,Grape_Black_Rot_RAG_Document.pdf,2
32,Grape Black Rot: Weed Control: Maintaining a clean under-vine area promotes airflow and buries mummies resting on the soil surface.,Grape Black Rot - Prevention & Cultural Practices: Weed Control: Maintaining a clean under-vine area promotes airflow and buries mummies resting on the soil surface.,[],grape_black_rot,grape,prevention,Prevention & Cultural Practices,True,Grape_Black_Rot_RAG_Document.pdf,2
33,"Resistant Varieties: Planting highly resistant grape cultivars (e.g., Norton, Elvira) in regions where the disease pressure is exceptionally high.","Grape Black Rot - Prevention & Cultural Practices: Resistant Varieties: Planting highly resistant grape cultivars (e.g., Norton, Elvira) in regions where the disease pressure is exceptionally high. Planting highly",['Planting highly'],grape_black_rot,grape,prevention,Prevention & Cultural Practices,False,Grape_Black_Rot_RAG_Document.pdf,2
34,"Fungicide Application Timing: Chemical control must be preventative. The most critical period for protection is from immediate pre-bloom through 3-4 weeks post-bloom, as young, developing berries are highly susceptible. Berries become naturally resistant to infection as they mature (usually around veraison).","Grape Black Rot - Treatment & Solutions (Chemical & Biological): Fungicide Application Timing: Chemical control must be preventative. The most critical period for protection is from immediate pre-bloom through 3-4 weeks post-bloom, as young, developing berries are highly susceptible. Berries become naturally resistant to infection as they mature (usually around veraison). Berries become Chemical control","['Berries become', 'Chemical control']",grape_black_rot,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Black_Rot_RAG_Document.pdf,2
35,"Chemical Treatments: Effective fungicides include protectants like Mancozeb and Captan, and systemic fungicides like Myclobutanil and Tebuconazole (sterol inhibitors). Fungicides must be rotated to prevent resistance.","Grape Black Rot - Treatment & Solutions (Chemical & Biological): Chemical Treatments: Effective fungicides include protectants like Mancozeb and Captan, and systemic fungicides like Myclobutanil and Tebuconazole (sterol inhibitors). Fungicides must be rotated to prevent resistance. Effective fungicides Fungicides must Mancozeb and Myclobutanil and captan mancozeb myclobutanil tebuconazole","['Effective fungicides', 'Fungicides must', 'Mancozeb and', 'Myclobutanil and', 'captan', 'mancozeb', 'myclobutanil', 'tebuconazole']",grape_black_rot,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Black_Rot_RAG_Document.pdf,2
36,"Biological Control: Biofungicides (such as those containing Bacillus subtilis) can be used in organic systems, though they are generally less effective under heavy disease pressure than conventional systemic fungicides and require meticulous canopy management and sanitation to be viable.","Grape Black Rot - Treatment & Solutions (Chemical & Biological): Biological Control: Biofungicides (such as those containing Bacillus subtilis) can be used in organic systems, though they are generally less effective under heavy disease pressure than conventional systemic fungicides and require meticulous canopy management and sanitation to be viable. Bacillus subtilis bacillus","['Bacillus subtilis', 'bacillus']",grape_black_rot,grape,treatment,Treatment & Solutions (Chemical & Biological),False,Grape_Black_Rot_RAG_Document.pdf,2
37,Grape Isariopsis Leaf Spot: Common Name: Isariopsis Leaf Spot (also known simply as Grape Leaf Spot),Grape Isariopsis Leaf Spot - Disease Name & Target Crop: Common Name: Isariopsis Leaf Spot (also known simply as Grape Leaf Spot),[],grape_isariopsis_leaf_spot,grape,identity,Disease Name & Target Crop,True,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
38,Grape Isariopsis Leaf Spot: Target Crop: Grapevine (Vitis vinifera and other Vitis species),Grape Isariopsis Leaf Spot - Disease Name & Target Crop: Target Crop: Grapevine (Vitis vinifera and other Vitis species) Vitis species Vitis vinifera,"['Vitis species', 'Vitis vinifera']",grape_isariopsis_leaf_spot,grape,identity,Disease Name & Target Crop,True,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
39,Grape Isariopsis Leaf Spot is a fungal disease caused by the pathogen: Pseudocercospora vitis (formerly known as Isariopsis clavispora or Phaeoisariopsis vitis),Grape Isariopsis Leaf Spot - Scientific Name (Pathogen): Grape Isariopsis Leaf Spot is a fungal disease caused by the pathogen: Pseudocercospora vitis (formerly known as Isariopsis clavispora or Phaeoisariopsis vitis) Isariopsis clavispora Phaeoisariopsis vitis Pseudocercospora vitis,"['Isariopsis clavispora', 'Phaeoisariopsis vitis', 'Pseudocercospora vitis']",grape_isariopsis_leaf_spot,grape,pathogen,Scientific Name (Pathogen),False,Grape_Isariopsis_Leaf_Spot_RAG_Document.pdf,1
